location,date,new_deaths
Austria,2021-04-25,18.0
Austria,2021-04-26,28.0
Austria,2021-04-27,19.0
Austria,2021-04-28,29.0
Austria,2021-04-29,24.0
Austria,2021-04-30,31.0
Austria,2021-05-01,27.0
Austria,2021-05-02,18.0
Austria,2021-05-03,31.0
Austria,2021-05-04,31.0
Austria,2021-05-05,24.0
Austria,2021-05-06,27.0
Austria,2021-05-07,20.0
Austria,2021-05-08,23.0
Austria,2021-05-09,23.0
Austria,2021-05-10,16.0
Austria,2021-05-11,25.0
Austria,2021-05-12,16.0
Austria,2021-05-13,13.0
Austria,2021-05-14,26.0
Austria,2021-05-15,11.0
Austria,2021-05-16,12.0
Austria,2021-05-17,15.0
Austria,2021-05-18,12.0
Austria,2021-05-19,12.0
Austria,2021-05-20,15.0
Austria,2021-05-21,3.0
Austria,2021-05-22,8.0
Austria,2021-05-23,14.0
Austria,2021-05-24,9.0
Austria,2021-05-25,12.0
Austria,2021-05-26,7.0
Austria,2021-05-27,10.0
Austria,2021-05-28,13.0
Austria,2021-05-29,11.0
Austria,2021-05-30,13.0
Austria,2021-05-31,9.0
Austria,2021-06-01,9.0
Austria,2021-06-02,7.0
Austria,2021-06-03,11.0
Austria,2021-06-04,10.0
Austria,2021-06-05,5.0
Austria,2021-06-06,5.0
Austria,2021-06-07,5.0
Austria,2021-06-08,6.0
Austria,2021-06-09,5.0
Austria,2021-06-10,4.0
Austria,2021-06-11,6.0
Austria,2021-06-12,4.0
Austria,2021-06-13,8.0
Austria,2021-06-14,5.0
Austria,2021-06-15,4.0
Austria,2021-06-16,4.0
Austria,2021-06-17,4.0
Austria,2021-06-18,3.0
Austria,2021-06-19,3.0
Austria,2021-06-20,7.0
Austria,2021-06-21,6.0
Austria,2021-06-22,6.0
Austria,2021-06-23,5.0
Austria,2021-06-24,1.0
Austria,2021-06-25,6.0
Austria,2021-06-26,3.0
Austria,2021-06-27,0.0
Austria,2021-06-28,3.0
Austria,2021-06-29,1.0
Austria,2021-06-30,2.0
Austria,2021-07-01,5.0
Austria,2021-07-02,3.0
Austria,2021-07-03,1.0
